Index,Variant,"Region, subregion, country or area *",Notes,Country code,Parent code,1990,1995,2000,2005,2010,2015,2019,2020
140,Estimates,Lao People's Democratic Republic,,418,920,4258,4846,5324,5752,6249,6741,7169,7276
141,Estimates,Malaysia,13,458,920,18030,20488,23194,25691,28208,30271,31950,32366
142,Estimates,Myanmar,,104,920,41335,43902,46720,48950,50601,52681,54045,54410
143,Estimates,Philippines,,608,920,61895,69784,77992,86326,93967,102113,108117,109581
144,Estimates,Singapore,,702,920,3013,3526,4029,4266,5131,5592,5804,5850
145,Estimates,Thailand,,764,920,56558,59467,62953,65416,67195,68715,69626,69800
146,Estimates,Timor-Leste,,626,920,738,844,884,995,1094,1196,1293,1318
147,Estimates,Viet Nam,,704,920,67989,74910,79910,83833,87968,92677,96462,97339
148,Estimates,LATIN AMERICA AND THE CARIBBEAN,,1830,1828,442840,483018,521836,557501,591352,623934,648121,653962
149,Estimates,Caribbean,,915,1830,34058,36162,38102,39746,41217,42622,43335,43532
150,Estimates,Anguilla,14,660,915,9,10,11,12,13,14,15,15
151,Estimates,Antigua and Barbuda,,28,915,63,69,76,81,88,94,97,98
152,Estimates,Aruba,15,533,915,62,80,91,100,102,104,106,107
153,Estimates,Bahamas,,44,915,256,280,298,325,355,374,389,393
154,Estimates,Barbados,,52,915,261,266,272,276,282,285,287,287
155,Estimates,"Bonaire, Sint Eustatius and Saba",15,535,915,13,15,14,14,21,25,26,26
156,Estimates,British Virgin Islands,14,92,915,17,19,20,23,28,29,30,30
157,Estimates,Cayman Islands,14,136,915,25,32,42,49,57,62,65,66
158,Estimates,Cuba,,192,915,10597,10888,11126,11262,11226,11325,11333,11327
159,Estimates,Curaçao,15,531,915,147,144,132,130,149,160,163,164
160,Estimates,Dominica,,212,915,70,71,70,71,71,71,72,72
161,Estimates,Dominican Republic,,214,915,7133,7819,8471,9097,9695,10282,10739,10848
162,Estimates,Grenada,,308,915,96,100,103,105,106,110,112,113
163,Estimates,Guadeloupe,2,312,915,389,404,422,403,406,400,400,400
164,Estimates,Haiti,,332,915,7038,7745,8464,9195,9949,10696,11263,11403
165,Estimates,Jamaica,,388,915,2420,2534,2655,2740,2810,2891,2948,2961
166,Estimates,Martinique,2,474,915,358,369,387,397,395,378,376,375
167,Estimates,Montserrat,14,500,915,11,10,5,5,5,5,5,5
168,Estimates,Puerto Rico,16,630,915,3403,3568,3669,3632,3580,3382,2933,2861
169,Estimates,Saint Barthélemy,2,652,915,5,6,7,9,9,10,10,10
170,Estimates,Saint Kitts and Nevis,,659,915,40,42,44,47,49,51,53,53
171,Estimates,Saint Lucia,,662,915,138,147,157,163,174,179,183,184
172,Estimates,Saint Martin (French part),2,663,915,32,27,29,34,38,36,38,39
173,Estimates,Saint Vincent and the Grenadines,,670,915,107,108,108,109,108,109,111,111
174,Estimates,Sint Maarten (Dutch part),15,534,915,29,31,33,33,34,40,42,43
175,Estimates,Trinidad and Tobago,,780,915,1221,1254,1267,1296,1328,1370,1395,1399
176,Estimates,Turks and Caicos Islands,14,796,915,12,16,20,28,33,36,38,39
177,Estimates,United States Virgin Islands,16,850,915,104,107,109,108,106,105,105,104
178,Estimates,Central America,,916,1830,113384,124554,135322,145951,157591,168949,177587,179670
179,Estimates,Belize,,84,916,188,207,247,284,322,361,390,398
180,Estimates,Costa Rica,,188,916,3119,3546,3962,4286,4577,4848,5048,5094
181,Estimates,El Salvador,,222,916,5270,5629,5888,6052,6184,6325,6454,6486
182,Estimates,Guatemala,,320,916,9264,10408,11651,13096,14630,16252,17581,17916
183,Estimates,Honduras,,340,916,4955,5709,6575,7459,8317,9113,9746,9905
184,Estimates,Mexico,,484,916,83943,91663,98900,106005,114093,121858,127576,128933
185,Estimates,Nicaragua,,558,916,4173,4652,5069,5439,5824,6223,6546,6625
186,Estimates,Panama,,591,916,2471,2740,3030,3330,3643,3968,4246,4315
187,Estimates,South America,,931,1830,295398,322302,348412,371805,392544,412363,427199,430760
188,Estimates,Argentina,,32,931,32619,34828,36871,38893,40896,43075,44781,45196
189,Estimates,Bolivia (Plurinational State of),,68,931,6865,7622,8418,9232,10049,10870,11513,11673
190,Estimates,Brazil,,76,931,149003,162020,174790,186127,195714,204472,211050,212559
191,Estimates,Chile,,152,931,13275,14381,15342,16183,17063,17969,18952,19116
192,Estimates,Colombia,,170,931,33103,36421,39630,42648,45223,47521,50339,50883
193,Estimates,Ecuador,,218,931,10231,11455,12681,13826,15011,16212,17374,17643
194,Estimates,Falkland Islands (Malvinas),17,238,931,2,3,3,3,3,3,3,3
195,Estimates,French Guiana,2,254,931,116,137,163,203,233,261,291,299
196,Estimates,Guyana,,328,931,743,761,747,746,749,767,783,787
197,Estimates,Paraguay,,600,931,4223,4777,5323,5824,6248,6689,7045,7133
198,Estimates,Peru,,604,931,22071,24299,26460,27866,29028,30471,32510,32972
199,Estimates,Suriname,,740,931,405,442,471,499,529,559,581,587
200,Estimates,Uruguay,,858,931,3110,3224,3320,3322,3359,3412,3462,3474
201,Estimates,Venezuela (Bolivarian Republic of),,862,931,19633,21931,24192,26432,28440,30082,28516,28436
202,Estimates,AUSTRALIA/NEW ZEALAND,,927,1828,20359,21668,22850,24314,26525,28547,29986,30322
203,Estimates,Australia,18,36,927,16961,17993,18991,20179,22155,23932,25203,25500
204,Estimates,New Zealand,19,554,927,3398,3675,3859,4135,4370,4615,4783,4822
205,Estimates,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),,1835,1828,6940,7722,8575,9376,10348,11312,12142,12356
206,Estimates,Melanesia,,928,1835,5973,6683,7473,8232,9188,10122,10919,11123
207,Estimates,Fiji,,242,928,729,775,811,822,860,869,890,896
208,Estimates,New Caledonia,2,540,928,170,193,217,236,254,271,283,285
209,Estimates,Papua New Guinea,,598,928,4616,5187,5848,6495,7311,8108,8776,8947
210,Estimates,Solomon Islands,,90,928,312,359,413,470,528,603,670,687
211,Estimates,Vanuatu,,548,928,147,168,185,209,236,271,300,307
212,Estimates,Micronesia,,954,1835,417,455,485,498,504,523,543,549
213,Estimates,Guam,16,316,954,130,146,155,158,159,162,167,169
214,Estimates,Kiribati,,296,954,72,78,84,92,103,111,118,119
215,Estimates,Marshall Islands,,584,954,47,50,51,55,56,57,59,59
216,Estimates,Micronesia (Fed. States of),,583,954,96,108,107,106,103,109,114,115
217,Estimates,Nauru,,520,954,10,11,10,10,10,10,11,11
218,Estimates,Northern Mariana Islands,16,580,954,46,46,57,57,54,56,57,58
219,Estimates,Palau,,585,954,15,17,19,20,18,18,18,18
220,Estimates,Polynesia,20,957,1835,550,583,616,646,657,667,680,684
221,Estimates,American Samoa,16,16,957,47,53,58,60,56,56,55,55
222,Estimates,Cook Islands,21,184,957,18,19,18,19,18,18,18,18
223,Estimates,French Polynesia,2,258,957,200,218,241,259,266,273,279,281
224,Estimates,Niue,21,570,957,2,2,2,2,2,2,2,2
225,Estimates,Samoa,,882,957,163,170,174,180,186,194,197,198
226,Estimates,Tokelau,21,772,957,2,2,2,1,1,1,1,1
227,Estimates,Tonga,,776,957,95,96,98,101,104,101,104,106
228,Estimates,Tuvalu,,798,957,9,9,9,10,11,11,12,12
229,Estimates,Wallis and Futuna Islands,2,876,957,14,14,15,15,13,12,11,11
230,Estimates,EUROPE AND NORTHERN AMERICA,,1829,1828,1000644,1021448,1037985,1056575,1079700,1100090,1113784,1116506
231,Estimates,EUROPE,,917,1829,720858,726994,725558,729288,736413,743059,747183,747636
232,Estimates,Eastern Europe,,923,917,309809,309435,303918,297501,294873,294391,293445,293013
233,Estimates,Belarus,,112,923,10151,10078,9872,9562,9421,9439,9452,9449
234,Estimates,Bulgaria,,100,923,8841,8379,7998,7687,7425,7200,7000,6948
235,Estimates,Czechia,,203,923,10341,10358,10289,10258,10537,10601,10689,10709
236,Estimates,Hungary,,348,923,10377,10349,10221,10086,9927,9778,9685,9660
237,Estimates,Poland,,616,923,37960,38459,38557,38369,38330,38034,37888,37847
238,Estimates,Republic of Moldova,22,498,923,4366,4341,4203,4159,4086,4071,4043,4034
239,Estimates,Romania,,642,923,23489,22965,22137,21417,20472,19925,19365,19238
240,Estimates,Russian Federation,,643,923,147532,148227,146405,143672,143479,144985,145872,145934
241,Estimates,Slovakia,,703,923,5288,5375,5399,5399,5404,5436,5457,5460
242,Estimates,Ukraine,23,804,923,51463,50904,48838,46891,45792,44922,43994,43734
243,Estimates,Northern Europe,,924,917,92036,93177,94454,96307,100398,103519,105769,106261
244,Estimates,Channel Islands,24,830,924,141,143,148,152,160,165,172,174
245,Estimates,Denmark,25,208,924,5141,5233,5341,5422,5555,5689,5772,5792
246,Estimates,Estonia,,233,924,1565,1433,1399,1356,1332,1315,1326,1327
247,Estimates,Faroe Islands,26,234,924,47,46,47,48,48,48,49,49
248,Estimates,Finland,27,246,924,4996,5119,5188,5259,5366,5481,5532,5541
249,Estimates,Iceland,,352,924,255,268,280,295,320,330,339,341
250,Estimates,Ireland,,372,924,3511,3592,3783,4141,4554,4652,4882,4938
251,Estimates,Isle of Man,14,833,924,70,72,77,80,85,83,85,85
252,Estimates,Latvia,,428,924,2664,2508,2384,2252,2119,1998,1907,1886
253,Estimates,Lithuania,,440,924,3696,3627,3502,3344,3124,2932,2760,2722
254,Estimates,Norway,28,578,924,4247,4367,4499,4632,4886,5200,5379,5421
255,Estimates,Sweden,,752,924,8567,8836,8882,9039,9390,9765,10036,10099
256,Estimates,United Kingdom,29,826,924,57134,57932,58923,60288,63460,65860,67530,67886
257,Estimates,Southern Europe,,925,917,143504,144332,144847,149676,153016,153065,152447,152215
258,Estimates,Albania,,8,925,3286,3113,3129,3087,2948,2891,2881,2878
259,Estimates,Andorra,,20,925,55,64,65,79,84,78,77,77
260,Estimates,Bosnia and Herzegovina,,70,925,4463,3829,3751,3765,3705,3429,3301,3281
261,Estimates,Croatia,,191,925,4776,4617,4428,4378,4328,4233,4130,4105
262,Estimates,Gibraltar,14,292,925,29,29,31,33,34,34,34,34
263,Estimates,Greece,,300,925,10226,10746,11082,11225,10888,10660,10473,10423
264,Estimates,Holy See,30,336,925,1,1,1,1,1,1,1,1
265,Estimates,Italy,,380,925,57048,57174,56692,58281,59325,60578,60550,60462
266,Estimates,Malta,,470,925,362,377,394,405,414,434,440,442
267,Estimates,Montenegro,,499,925,615,620,614,616,624,627,628,628
268,Estimates,North Macedonia,,807,925,1996,1983,2035,2060,2071,2079,2083,2083
269,Estimates,Portugal,,620,925,9895,10091,10297,10508,10596,10368,10226,10197
270,Estimates,San Marino,,674,925,24,26,27,29,31,33,34,34
271,Estimates,Serbia,31,688,925,9518,9884,9488,9194,8991,8877,8772,8737
272,Estimates,Slovenia,,705,925,2006,1991,1988,1995,2043,2071,2079,2079
273,Estimates,Spain,32,724,925,39203,39787,40825,44019,46931,46672,46737,46755
274,Estimates,Western Europe,,926,917,175510,180050,182339,185804,188126,192084,195522,196146
